«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
ќ«бѕ «бг«бян;19;Ќ«—”;44;71.58;4;1;44.65;26.24;6.88;142;22.76;5.46;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;26;ѕЁ«Џ;19;61.89;2;0;83.6;27.14;11.37;125;26.94;6.02;џн— гжеж»;џн— гжеж»
—«я«д «б‘г—н;17;Ќ«—”;44;71.57;7;3;54.29;24.98;8.33;138;46.56;7.51;гжеж»;гжеж»
—«я«д «бг«бян;21;Ќ«—”;14;86.72;8;4;86.61;24.43;10.37;156;46.22;8.00;гжеж»;гжеж»
ќ«бѕ «б‘г—н;26;ећжг;7;67.89;2;1;48.15;28.44;6.73;117;24.75;4.59;џн— гжеж»;џн— гжеж»
—«я«д «б‘г—н;24;ећжг;21;84.07;8;4;63.44;27.70;8.18;174;31.33;4.64;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏ н»н;23;Ќ«—”;61;83.40;5;5;64.34;28.23;7.19;167;39.16;6.37;џн— гжеж»;џн— гжеж»
гЌгѕ «б—жнбн;26;ж”Ў;49;78.22;7;3;62.61;27.09;8.95;170;14.88;5.22;џн— гжеж»;џн— гжеж»
гЌгѕ «б“е—«дн;26;Ќ«—”;31;66.04;1;0;59.86;25.51;6.35;161;23.56;8.02;гжеж»;гжеж»
√Ќгѕ «б»бжн;17;ж”Ў;57;71.84;4;0;68.75;26.62;7.61;180;8.30;6.09;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;19;ѕЁ«Џ;84;93.05;2;2;77.51;27.81;6.96;150;38.57;6.98;гжеж»;џн— гжеж»
д«’— «б‘г—н;17;ж”Ў;37;67.03;2;1;80.18;27.27;9.37;123;19.93;5.84;џн— гжеж»;џн— гжеж»
—«я«д «бЌ—»н;30;Ќ«—”;81;87.10;3;0;57.24;26.54;10.89;158;45.89;9.44;гжеж»;гжеж»
гЌгѕ «бЏд“н;19;ж”Ў;11;69.37;3;2;41.21;32.21;7.00;130;36.95;9.05;гжеж»;гжеж»
 —ян «б‘г—н;26;ећжг;20;78.28;1;3;78.81;25.33;10.70;171;27.82;7.77;гжеж»;гжеж»
”«бг «б‘г—н;17;Ќ«—”;51;69.50;0;0;87.14;28.87;10.28;126;38.72;7.59;гжеж»;гжеж»
Ёеѕ «бЏд“н;19;ећжг;89;94.04;8;4;47.05;31.17;7.94;181;9.31;6.86;џн— гжеж»;џн— гжеж»
гЌгѕ «б»бжн;25;ећжг;31;65.77;0;1;83.83;29.79;7.29;165;12.81;5.65;џн— гжеж»;џн— гжеж»
 —ян «бЏд“н;24;ећжг;90;75.82;5;1;72.69;24.82;8.49;136;21.30;6.11;џн— гжеж»;џн— гжеж»
√Ќгѕ «б‘г—н;25;ж”Ў;82;77.87;6;3;45.12;33.41;10.59;142;26.80;9.18;гжеж»;гжеж»
”«бг «б»бжн;24;Ќ«—”;69;67.36;1;1;58.25;29.27;11.07;133;41.96;9.69;гжеж»;гжеж»
”«бг «б»бжн;27;ж”Ў;15;85.22;11;4;79.71;28.86;6.74;157;23.66;8.74;гжеж»;гжеж»
—«я«д «бЏд“н;25;ећжг;79;81.37;0;0;56.75;33.54;10.01;162;37.08;8.87;гжеж»;гжеж»
д«’— «бг«бян;28;ѕЁ«Џ;53;69.68;3;6;86.19;30.86;9.68;156;47.92;5.28;џн— гжеж»;џн— гжеж»
√Ќгѕ «б—жнбн;24;ѕЁ«Џ;36;73.76;0;0;60.33;29.07;7.83;165;20.28;8.25;гжеж»;гжеж»
”Џжѕ «бЏд“н;22;Ќ«—”;44;86.39;1;1;45.35;29.58;8.11;119;26.10;8.02;гжеж»;гжеж»
Џ»ѕ«ббе «бЏд“н;25;ѕЁ«Џ;21;75.80;0;0;82.3;27.50;9.34;135;43.26;7.57;гжеж»;гжеж»
Ёеѕ «бЏ н»н;21;ж”Ў;84;65.38;7;0;53.66;31.94;9.15;118;26.27;5.49;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;26;ѕЁ«Џ;61;63.24;1;0;51.95;33.86;7.86;119;30.32;7.53;гжеж»;гжеж»
д«’— «б‘г—н;19;ећжг;31;65.40;12;0;45.61;28.42;8.33;136;32.04;5.24;џн— гжеж»;џн— гжеж»
”«бг «бёЌЎ«дн;25;Ќ«—”;15;67.90;9;3;79.67;30.63;7.36;127;22.47;6.73;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бг«бян;27;Ќ«—”;45;69.62;3;0;43.68;32.60;9.72;157;17.39;8.34;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;29;ѕЁ«Џ;9;74.37;8;2;46.39;31.45;10.40;167;19.73;4.78;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;22;Ќ«—”;23;85.55;0;0;45.54;27.25;7.80;150;10.19;7.81;гжеж»;гжеж»
 —ян «бЏд“н;27;Ќ«—”;80;93.37;1;1;88.59;31.23;7.01;155;40.33;8.29;гжеж»;гжеж»
—«я«д «бЏд“н;19;ѕЁ«Џ;78;94.96;2;0;72.39;32.45;7.91;175;23.95;8.90;гжеж»;гжеж»
 —ян «б“е—«дн;20;ж”Ў;16;88.09;7;0;51.83;29.76;10.45;171;17.33;8.37;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;17;ѕЁ«Џ;35;80.82;4;0;67.19;26.50;8.99;178;32.22;5.19;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;15;ѕЁ«Џ;61;82.80;4;2;57.58;33.41;11.38;174;34.11;5.23;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;21;Ќ«—”;22;85.92;5;4;76.21;24.19;9.97;165;14.54;6.48;џн— гжеж»;џн— гжеж»
”«бг «бЌ—»н;27;ж”Ў;64;87.50;5;0;57.95;25.10;10.41;128;21.06;7.07;џн— гжеж»;гжеж»
 —ян «б“е—«дн;29;ѕЁ«Џ;56;68.59;6;3;78.72;27.59;9.17;146;9.46;6.96;џн— гжеж»;џн— гжеж»
Ёеѕ «бџ«гѕн;22;ећжг;44;73.84;4;0;52.47;30.89;9.96;128;26.01;5.63;џн— гжеж»;џн— гжеж»
”Џжѕ «бЏд“н;20;ж”Ў;38;89.63;7;1;45.54;29.61;11.20;168;19.67;7.99;гжеж»;гжеж»
гЌгѕ «бЏд“н;27;ећжг;31;86.51;11;2;53.72;26.30;9.64;123;39.44;9.67;гжеж»;гжеж»
гЌгѕ «бг«бян;16;ећжг;17;86.65;4;4;58.72;29.65;10.28;140;35.41;6.64;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;26;ѕЁ«Џ;41;89.66;2;0;64;25.32;6.51;172;19.82;5.19;џн— гжеж»;џн— гжеж»
Ёеѕ «б»бжн;21;ж”Ў;51;64.01;1;3;68.86;29.65;9.62;161;47.07;8.10;гжеж»;гжеж»
д«’— «бЌ—»н;27;ж”Ў;63;63.60;1;3;83.48;25.30;7.66;171;13.45;5.63;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б‘г—н;20;ећжг;76;74.42;10;2;51.57;30.58;8.62;151;46.94;8.90;гжеж»;гжеж»
—«я«д «б»бжн;21;ѕЁ«Џ;58;60.91;6;1;41.86;28.76;10.57;129;11.07;5.69;џн— гжеж»;џн— гжеж»
ќ«бѕ «бџ«гѕн;26;ећжг;53;86.19;6;3;43.7;25.98;7.25;142;49.71;8.70;гжеж»;гжеж»
д«’— «бџ«гѕн;28;ѕЁ«Џ;70;87.79;1;0;52.69;28.21;7.90;128;34.97;6.63;џн— гжеж»;џн— гжеж»
ќ«бѕ «бёЌЎ«дн;28;ећжг;35;62.55;7;4;65.26;32.55;9.94;149;13.80;8.70;гжеж»;гжеж»
 —ян «б“е—«дн;21;ећжг;40;90.93;1;1;59.35;25.38;11.03;144;20.11;5.53;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;26;Ќ«—”;82;79.61;3;4;67.53;26.17;9.02;177;11.11;6.15;џн— гжеж»;џн— гжеж»
”«бг «б‘г—н;21;ѕЁ«Џ;78;63.23;6;1;56.58;27.02;7.28;131;28.37;9.31;гжеж»;гжеж»
 —ян «бџ«гѕн;22;ѕЁ«Џ;30;81.60;0;1;89.53;32.72;8.30;149;22.44;7.74;гжеж»;гжеж»
—«я«д «бЏ н»н;21;Ќ«—”;42;71.04;0;0;83.66;32.29;9.33;177;22.46;7.50;гжеж»;гжеж»
√Ќгѕ «бг«бян;19;Ќ«—”;21;61.66;8;5;78.45;26.11;5.88;181;13.41;6.64;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;26;ж”Ў;68;92.10;1;1;86.04;31.88;5.85;174;44.36;8.95;гжеж»;гжеж»
Џ»ѕ«ббе «б‘г—н;23;ећжг;34;71.45;8;0;60.59;28.02;7.94;124;48.64;6.54;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;23;Ќ«—”;56;73.57;8;4;59.8;32.01;7.55;127;43.00;7.13;гжеж»;гжеж»
”Џжѕ «б—жнбн;16;Ќ«—”;41;83.30;5;3;40.69;26.55;9.38;126;32.47;7.81;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;27;Ќ«—”;29;67.95;3;3;51.54;24.89;8.93;166;45.25;6.41;џн— гжеж»;џн— гжеж»
√Ќгѕ «бг«бян;26;ѕЁ«Џ;52;60.11;0;0;68.85;25.69;7.71;173;23.60;8.33;гжеж»;гжеж»
 —ян «бёЌЎ«дн;26;ѕЁ«Џ;38;76.64;4;3;47.92;25.37;11.42;161;20.90;7.56;гжеж»;гжеж»
 —ян «бг«бян;18;ећжг;57;84.88;4;0;75.19;30.90;5.93;160;20.40;9.17;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;23;Ќ«—”;25;88.19;7;1;57.78;27.06;8.31;126;23.79;6.83;џн— гжеж»;џн— гжеж»
 —ян «бёЌЎ«дн;24;ѕЁ«Џ;47;77.72;3;4;44.63;33.88;11.43;168;35.87;7.53;гжеж»;гжеж»
—«я«д «б—жнбн;16;ећжг;49;64.50;6;1;49.01;28.65;7.20;167;37.59;7.74;гжеж»;гжеж»
—«я«д «б“е—«дн;21;ж”Ў;37;66.36;7;0;74.2;30.24;10.44;170;44.21;4.52;џн— гжеж»;џн— гжеж»
”«бг «бёЌЎ«дн;22;ећжг;62;72.76;5;2;63.52;29.25;10.22;139;28.90;5.41;џн— гжеж»;џн— гжеж»
д«’— «бёЌЎ«дн;22;ѕЁ«Џ;12;83.12;0;0;76.46;27.08;6.43;178;45.61;7.21;гжеж»;гжеж»
√Ќгѕ «б»бжн;17;Ќ«—”;74;92.58;9;2;89.64;27.43;6.97;149;26.97;7.24;џн— гжеж»;гжеж»
д«’— «б»бжн;18;ѕЁ«Џ;44;92.32;3;5;54.65;23.47;6.86;151;19.26;7.20;гжеж»;гжеж»
√Ќгѕ «бЏд“н;22;ећжг;80;71.10;4;3;78.42;33.72;10.60;176;15.17;8.17;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;26;ж”Ў;50;81.90;1;0;89.43;29.58;8.47;127;27.31;8.31;гжеж»;гжеж»
Џ»ѕ«ббе «бг«бян;26;ѕЁ«Џ;73;88.02;1;1;47.03;31.63;9.70;165;23.62;8.78;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;18;ећжг;20;61.05;10;5;43.47;26.92;9.16;144;18.75;9.29;гжеж»;гжеж»
”Џжѕ «б»бжн;22;ећжг;81;83.89;2;4;55;30.90;10.61;165;27.37;8.06;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;23;Ќ«—”;24;77.92;3;1;54.33;29.30;7.38;129;29.71;7.20;гжеж»;гжеж»
Ёеѕ «б“е—«дн;20;ѕЁ«Џ;22;82.29;8;3;63.95;25.49;11.16;124;11.35;6.66;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЌ—»н;26;ж”Ў;52;75.34;5;1;42.36;29.47;10.57;153;42.91;8.29;гжеж»;гжеж»
”Џжѕ «бЏд“н;24;ж”Ў;67;67.96;4;2;88.09;31.61;8.01;171;36.64;6.35;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;27;ећжг;83;80.87;7;5;70.25;32.30;10.63;149;28.80;5.58;џн— гжеж»;џн— гжеж»
д«’— «бёЌЎ«дн;23;ѕЁ«Џ;31;73.49;4;4;44.09;26.90;6.49;137;27.90;8.53;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;21;ећжг;6;80.53;8;6;69.23;25.51;8.40;149;27.12;8.10;гжеж»;гжеж»
Ёеѕ «бёЌЎ«дн;20;ж”Ў;70;79.82;8;4;56.15;25.23;10.25;158;41.40;6.32;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;27;ѕЁ«Џ;90;68.97;5;2;88.39;27.72;8.67;175;21.48;6.87;џн— гжеж»;џн— гжеж»
”Џжѕ «бЌ—»н;25;ећжг;51;88.05;4;4;83.95;31.28;6.44;171;29.20;7.90;гжеж»;гжеж»
 —ян «бЏд“н;21;Ќ«—”;12;64.56;2;0;60.39;29.91;9.81;158;31.92;5.39;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;20;ж”Ў;32;92.63;2;0;75.72;32.11;8.53;135;26.13;4.75;џн— гжеж»;џн— гжеж»
ќ«бѕ «бЌ—»н;17;Ќ«—”;20;64.44;9;6;76.27;24.02;7.75;172;10.09;5.66;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏ н»н;25;Ќ«—”;24;68.79;2;2;55.62;31.79;10.62;142;37.92;5.86;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;29;Ќ«—”;47;89.94;0;0;59.85;25.15;10.09;136;42.32;9.03;гжеж»;гжеж»
гЌгѕ «б—жнбн;28;ѕЁ«Џ;60;92.12;0;0;59;31.62;9.07;124;43.10;8.68;гжеж»;гжеж»
”Џжѕ «б—жнбн;25;ећжг;59;89.40;2;4;73.4;23.96;10.87;159;33.29;9.00;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;22;ѕЁ«Џ;42;88.30;4;6;86.16;25.70;6.77;168;44.72;5.51;џн— гжеж»;џн— гжеж»
ќ«бѕ «б»бжн;19;ећжг;64;62.67;0;1;73.39;26.46;10.46;154;23.44;8.09;гжеж»;гжеж»
”«бг «бёЌЎ«дн;21;ећжг;36;82.84;7;4;46.72;29.94;7.20;176;23.82;9.01;гжеж»;гжеж»
д«’— «бЌ—»н;27;ећжг;83;69.75;0;0;51.69;27.84;7.83;147;12.43;8.49;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;18;ећжг;18;93.92;6;3;48.68;27.55;9.93;170;30.90;8.19;гжеж»;гжеж»
ќ«бѕ «б“е—«дн;21;ећжг;23;62.24;7;3;79.16;32.13;10.38;146;49.08;6.68;џн— гжеж»;џн— гжеж»
ќ«бѕ «бёЌЎ«дн;22;Ќ«—”;46;93.49;6;2;85.67;29.28;7.68;172;37.65;8.04;гжеж»;гжеж»
√Ќгѕ «бЏ н»н;28;ѕЁ«Џ;71;93.04;8;3;53.7;26.43;10.15;156;33.37;7.15;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;29;ећжг;57;94.85;12;2;80.5;26.06;8.22;173;47.34;9.31;гжеж»;гжеж»
 —ян «бЏ н»н;29;ећжг;38;74.53;0;1;82.63;31.44;9.77;145;15.60;8.29;гжеж»;гжеж»
Џ»ѕ«ббе «бёЌЎ«дн;23;ж”Ў;14;76.42;6;2;73.46;29.27;9.65;139;26.86;7.51;гжеж»;гжеж»
Ёеѕ «б‘г—н;25;ж”Ў;53;81.21;7;1;58.25;25.00;6.81;141;33.15;6.54;џн— гжеж»;џн— гжеж»
 —ян «б‘г—н;21;ѕЁ«Џ;82;67.21;4;2;49.61;26.77;11.14;146;20.71;8.29;гжеж»;гжеж»
гЌгѕ «б»бжн;23;ж”Ў;60;74.76;11;5;54.23;25.50;9.36;153;29.08;6.63;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЏд“н;27;ѕЁ«Џ;62;89.35;0;1;51.19;31.39;10.20;128;28.54;8.54;гжеж»;гжеж»
д«’— «б“е—«дн;19;ж”Ў;20;65.29;2;0;79.93;28.03;8.70;153;49.82;5.36;џн— гжеж»;џн— гжеж»
гЌгѕ «б“е—«дн;18;Ќ«—”;73;69.39;10;2;62.7;31.50;6.90;127;35.78;7.36;гжеж»;гжеж»
гЌгѕ «б‘г—н;28;ѕЁ«Џ;23;84.93;9;6;61.11;31.17;7.86;159;42.30;7.97;гжеж»;гжеж»
д«’— «бЏ н»н;25;Ќ«—”;56;92.56;1;0;85.99;32.16;7.60;122;40.41;5.94;џн— гжеж»;џн— гжеж»
”Џжѕ «б—жнбн;16;ећжг;62;82.39;9;4;70.37;28.15;7.21;142;37.85;8.69;гжеж»;гжеж»
ќ«бѕ «б‘г—н;24;ѕЁ«Џ;93;80.32;2;1;74.96;32.31;7.04;121;47.85;6.61;џн— гжеж»;џн— гжеж»
—«я«д «бЏд“н;20;Ќ«—”;74;61.43;10;2;41.19;28.02;7.84;156;40.22;5.37;џн— гжеж»;џн— гжеж»
√Ќгѕ «бёЌЎ«дн;25;ѕЁ«Џ;30;74.48;0;1;86.43;30.51;5.92;140;27.70;7.43;гжеж»;гжеж»
ќ«бѕ «б—жнбн;23;ѕЁ«Џ;89;83.98;3;1;58.42;24.91;9.88;154;37.60;6.35;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б“е—«дн;25;ећжг;64;65.07;3;1;82.03;27.20;9.59;120;29.46;7.65;гжеж»;гжеж»
гЌгѕ «б»бжн;29;ѕЁ«Џ;60;63.04;11;6;75.15;32.09;7.91;125;49.76;7.24;гжеж»;гжеж»
√Ќгѕ «бёЌЎ«дн;17;Ќ«—”;15;62.44;1;2;48.81;24.97;7.44;170;36.71;8.94;гжеж»;гжеж»
”«бг «бг«бян;21;ж”Ў;56;89.52;2;2;70.09;32.78;10.50;124;48.43;4.76;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;21;ећжг;63;86.52;7;0;69.6;26.83;9.62;178;11.79;7.43;гжеж»;гжеж»
ќ«бѕ «бг«бян;25;ећжг;63;83.00;8;5;61.25;30.69;8.24;172;23.58;5.59;џн— гжеж»;џн— гжеж»
√Ќгѕ «бёЌЎ«дн;18;ѕЁ«Џ;32;76.38;7;0;68.89;30.23;6.01;183;39.14;4.39;џн— гжеж»;џн— гжеж»
гЌгѕ «бг«бян;23;ећжг;73;83.76;8;1;52.69;33.36;5.91;161;47.87;6.87;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «б—жнбн;20;ећжг;66;64.45;5;1;56.91;30.42;8.35;152;43.61;5.94;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бџ«гѕн;15;Ќ«—”;14;87.29;4;1;86.93;30.05;7.33;178;36.64;9.04;гжеж»;гжеж»
—«я«д «бЏд“н;24;ѕЁ«Џ;77;79.36;2;0;63.24;31.44;7.61;144;48.99;4.93;џн— гжеж»;џн— гжеж»
Ёеѕ «бЏд“н;19;ѕЁ«Џ;15;67.85;2;0;53.28;29.19;6.68;118;50.48;7.42;гжеж»;гжеж»
ќ«бѕ «бЏ н»н;24;Ќ«—”;73;81.82;5;4;76.66;29.81;9.65;137;21.42;5.77;џн— гжеж»;џн— гжеж»
 —ян «бЏ н»н;28;Ќ«—”;56;79.56;9;3;45.88;25.30;10.99;124;40.57;4.45;џн— гжеж»;џн— гжеж»
гЌгѕ «б»бжн;30;ж”Ў;50;76.63;4;3;86.97;25.69;7.29;145;21.21;5.24;џн— гжеж»;џн— гжеж»
гЌгѕ «б—жнбн;16;Ќ«—”;14;60.36;5;2;49.81;34.55;10.34;163;21.95;6.35;џн— гжеж»;џн— гжеж»
 —ян «б‘г—н;22;ѕЁ«Џ;71;62.44;3;5;53.32;24.57;10.06;166;23.26;8.03;гжеж»;гжеж»
гЌгѕ «б»бжн;24;ѕЁ«Џ;58;81.87;10;0;48.76;28.33;11.58;165;38.52;7.89;гжеж»;гжеж»
—«я«д «б»бжн;24;Ќ«—”;69;79.68;10;5;42.31;32.57;9.05;160;43.97;5.49;џн— гжеж»;џн— гжеж»
д«’— «бг«бян;17;ѕЁ«Џ;42;63.70;3;1;62.21;31.57;10.66;165;46.46;9.45;гжеж»;гжеж»
гЌгѕ «бЏд“н;24;Ќ«—”;27;61.00;1;0;83.63;26.08;9.95;175;44.49;5.17;џн— гжеж»;џн— гжеж»
 —ян «бг«бян;24;ѕЁ«Џ;63;71.83;5;3;85.1;28.61;8.63;165;32.41;7.49;гжеж»;гжеж»
д«’— «бёЌЎ«дн;24;ж”Ў;93;89.18;3;0;78.35;29.28;7.47;163;15.17;6.95;џн— гжеж»;џн— гжеж»
ќ«бѕ «б“е—«дн;22;ећжг;86;86.55;5;1;64.08;27.32;8.86;177;25.71;8.89;гжеж»;гжеж»
 —ян «б‘г—н;19;ећжг;13;83.01;3;3;57.56;32.89;9.42;122;40.00;9.73;гжеж»;гжеж»
ќ«бѕ «бг«бян;24;ѕЁ«Џ;62;90.43;5;2;80.33;25.02;10.31;163;28.44;6.73;џн— гжеж»;џн— гжеж»
”Џжѕ «б—жнбн;20;ѕЁ«Џ;14;81.49;2;0;89.95;28.51;9.05;151;17.25;6.35;џн— гжеж»;џн— гжеж»
√Ќгѕ «бџ«гѕн;20;ж”Ў;88;63.64;9;1;77.92;31.06;6.83;127;23.99;5.64;џн— гжеж»;џн— гжеж»
 —ян «бЏ н»н;25;Ќ«—”;89;69.89;3;1;85.23;30.63;8.51;123;36.56;8.77;гжеж»;гжеж»
Ёеѕ «бЌ—»н;21;ећжг;23;64.04;12;5;65.14;31.51;7.65;146;19.93;9.33;гжеж»;гжеж»
√Ќгѕ «бЌ—»н;21;Ќ«—”;12;65.31;5;3;48.3;24.42;9.20;157;36.46;6.01;џн— гжеж»;џн— гжеж»
д«’— «б—жнбн;22;ѕЁ«Џ;59;63.15;5;4;75.57;29.30;8.59;172;39.60;5.05;џн— гжеж»;џн— гжеж»
 —ян «бџ«гѕн;16;ѕЁ«Џ;61;70.56;5;2;48.41;31.76;11.11;131;24.59;9.53;гжеж»;гжеж»
ќ«бѕ «бЌ—»н;25;ж”Ў;76;91.35;0;0;54.41;31.84;11.29;150;21.61;8.64;гжеж»;гжеж»
”Џжѕ «б“е—«дн;15;ѕЁ«Џ;23;65.38;5;4;61.27;29.07;10.70;173;24.80;5.58;џн— гжеж»;џн— гжеж»
 —ян «б‘г—н;29;Ќ«—”;34;81.23;8;1;72.95;26.49;6.51;136;26.34;9.71;гжеж»;гжеж»
Џ»ѕ«ббе «б»бжн;25;ж”Ў;24;85.55;4;2;45.22;25.62;7.32;180;32.59;8.44;гжеж»;гжеж»
”Џжѕ «б‘г—н;26;ѕЁ«Џ;27;75.32;5;1;56.02;28.71;7.73;179;22.96;7.72;гжеж»;гжеж»
”Џжѕ «б»бжн;25;ѕЁ«Џ;30;68.92;0;0;88.96;25.36;7.34;117;24.14;4.10;џн— гжеж»;џн— гжеж»
√Ќгѕ «бг«бян;24;Ќ«—”;78;79.27;2;3;84.31;31.42;9.23;137;43.98;6.68;гжеж»;џн— гжеж»
—«я«д «бЏ н»н;24;ж”Ў;33;70.84;0;1;52.01;31.42;7.03;137;44.16;5.74;џн— гжеж»;џн— гжеж»
 —ян «бЌ—»н;17;Ќ«—”;33;94.06;1;0;87.4;29.71;7.89;144;43.73;8.92;гжеж»;гжеж»
—«я«д «бЏ н»н;23;Ќ«—”;63;94.68;10;0;62.64;33.63;6.71;144;23.28;5.41;џн— гжеж»;џн— гжеж»
”«бг «б—жнбн;17;ѕЁ«Џ;51;91.89;2;0;40.77;24.37;10.79;125;50.07;8.68;гжеж»;гжеж»
гЌгѕ «б—жнбн;22;ж”Ў;65;60.79;0;2;81.58;25.60;6.32;135;28.28;7.55;гжеж»;гжеж»
 —ян «б‘г—н;20;Ќ«—”;85;94.05;4;0;45.37;31.86;7.90;167;34.56;7.10;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;15;ећжг;51;84.35;3;2;88.12;30.59;7.30;132;16.66;4.93;џн— гжеж»;џн— гжеж»
”Џжѕ «б‘г—н;20;ећжг;57;88.80;10;1;41.04;29.42;7.28;122;20.62;8.40;гжеж»;гжеж»
д«’— «бџ«гѕн;26;ећжг;26;87.85;4;2;86.16;28.51;8.97;147;13.98;9.04;гжеж»;гжеж»
ќ«бѕ «бёЌЎ«дн;26;ж”Ў;62;67.53;7;1;71.02;29.18;10.45;147;18.44;4.68;џн— гжеж»;џн— гжеж»
гЌгѕ «б»бжн;22;ећжг;29;94.81;2;0;65.39;25.52;10.66;153;14.78;8.53;гжеж»;гжеж»
Ёеѕ «б‘г—н;17;ѕЁ«Џ;76;78.75;5;0;45.21;25.51;8.51;137;11.31;5.00;џн— гжеж»;џн— гжеж»
Ёеѕ «бЌ—»н;20;Ќ«—”;49;86.46;5;4;47.48;28.54;8.54;158;14.76;6.82;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бг«бян;26;ећжг;28;84.38;2;0;88.51;31.37;7.26;129;18.63;5.64;џн— гжеж»;џн— гжеж»
”«бг «б‘г—н;23;ж”Ў;72;66.98;10;5;45.28;28.53;7.29;167;25.85;4.95;џн— гжеж»;џн— гжеж»
гЌгѕ «бЏд“н;22;ећжг;83;88.14;1;0;84.72;33.82;9.26;129;19.96;9.19;гжеж»;гжеж»
√Ќгѕ «б“е—«дн;21;ећжг;71;84.45;2;1;66.92;33.73;7.83;164;33.49;5.82;џн— гжеж»;џн— гжеж»
”Џжѕ «б“е—«дн;20;Ќ«—”;25;67.33;6;3;84.43;31.91;9.48;165;31.34;5.31;џн— гжеж»;џн— гжеж»
Ёеѕ «б»бжн;18;ећжг;85;81.83;0;0;50.85;24.47;9.46;139;43.78;7.42;гжеж»;гжеж»
Џ»ѕ«ббе «бЏ н»н;25;ж”Ў;68;71.04;6;3;77.88;28.51;6.52;120;35.29;9.00;гжеж»;гжеж»
Ёеѕ «б»бжн;22;ећжг;74;77.78;2;0;74.35;28.18;10.82;151;9.96;5.28;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;16;Ќ«—”;81;78.46;0;0;88.16;31.26;8.07;137;12.07;5.02;џн— гжеж»;џн— гжеж»
”«бг «бЏ н»н;23;ж”Ў;29;60.89;0;0;46.77;29.01;8.08;119;46.61;5.18;џн— гжеж»;џн— гжеж»
√Ќгѕ «бёЌЎ«дн;16;ѕЁ«Џ;77;89.97;6;2;73.2;28.43;11.32;167;32.90;6.23;џн— гжеж»;џн— гжеж»
Ёеѕ «бг«бян;26;ж”Ў;21;76.25;6;4;73.04;31.10;8.55;139;42.94;9.34;гжеж»;гжеж»
—«я«д «бџ«гѕн;23;ѕЁ«Џ;53;86.26;5;1;53.55;33.26;10.75;153;45.40;6.85;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;20;ѕЁ«Џ;79;74.70;1;0;79.76;33.40;6.99;163;41.80;7.05;џн— гжеж»;гжеж»
√Ќгѕ «б‘г—н;29;ж”Ў;40;63.32;0;0;82.62;29.58;6.74;172;12.91;7.77;гжеж»;гжеж»
